2069.4556093226242
3.2666101766840794
This is Ipopt version 3.12.3, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:   672254
Number of nonzeros in inequality constraint Jacobian.:    68250
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    74504
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    74504
                     variables with only upper bounds:        0
Total number of equality constraints.................:    69504
Total number of inequality constraints...............:    28650
        inequality constraints with only lower bounds:    13800
   inequality constraints with lower and upper bounds:     1050
        inequality constraints with only upper bounds:    13800

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100 1.6850837e+004 2.05e+002 4.31e+003  -0.8 9.48e+000  -3.2 8.16e-001 1.00e+000f  1
 101 1.6131150e+004 1.16e+002 5.04e+003  -0.9 2.22e+001    -  6.24e-001 8.30e-001f  1
 102 1.8012816e+004 9.20e+001 7.86e+003  -0.9 3.90e+000   0.3 5.64e-001 3.45e-001h  1
 103 2.0480051e+004 8.90e+001 9.43e+003  -0.9 4.22e+000  -0.1 4.25e-001 2.75e-001h  1
 104 2.2826506e+004 8.04e+001 7.19e+003  -0.9 4.32e+000  -0.6 9.68e-002 1.54e-001h  1
 105 1.9738613e+004 6.68e+001 1.42e+003  -0.9 1.43e+001    -  2.28e-001 9.19e-001h  1
 106 1.7904613e+004 6.65e+001 1.01e+003  -0.9 8.91e+000    -  7.30e-001 1.00e+000f  1
 107 1.8229803e+004 3.96e+000 2.92e+002  -0.9 1.18e+000  -1.1 1.00e+000 1.00e+000h  1
 108 1.7256762e+004 4.15e+000 4.76e+002  -0.9 5.47e+000    -  8.80e-001 1.00e+000h  1
 109 1.7184198e+004 1.85e+000 2.99e+002  -0.9 7.00e+000    -  7.61e-001 1.00e+000f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110 1.5378936e+004 3.51e+000 4.44e+001  -1.2 3.19e+000    -  1.00e+000 1.00e+000H  1
 111 1.4811151e+004 2.19e+001 4.33e+002  -1.3 8.97e+000    -  8.76e-001 5.00e-001f  2
 112 1.3466994e+004 4.34e+000 2.71e+002  -1.3 2.93e+000    -  1.00e+000 1.00e+000f  1
 113 1.1894768e+004 1.71e+001 9.55e+001  -1.7 4.24e+000    -  1.00e+000 1.00e+000f  1
 114 1.0960622e+004 4.02e+001 9.20e+002  -1.9 1.82e+001    -  1.62e-001 5.03e-001F  1
 115 1.1850744e+004 1.25e+001 2.05e+003  -1.8 1.11e+000  -0.8 1.00e+000 1.00e+000h  1
 116 1.0483358e+004 6.38e+000 3.82e+002  -1.8 1.02e+001    -  6.91e-001 9.67e-001f  1
 117 9.6073420e+003 5.20e+000 2.52e+002  -2.4 7.95e+000    -  4.46e-001 5.69e-001h  1
 118 8.7422201e+003 3.91e+001 1.33e+002  -2.6 1.31e+001    -  4.50e-001 5.89e-001f  1
 119 8.7277640e+003 7.76e+000 5.09e+001  -2.8 5.22e-001  -0.4 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120 8.5562894e+003 1.31e+001 1.03e+002  -2.1 6.59e+000    -  5.00e-001 8.99e-001f  1
 121 7.8177799e+003 2.25e+001 6.84e+001  -2.6 7.29e+000    -  8.76e-001 1.00e+000h  1
 122 8.2764459e+003 7.09e+000 1.58e+001  -2.5 1.03e+001    -  7.06e-001 7.58e-001H  1
 123 6.8226015e+003 2.44e+001 2.08e+001  -3.0 9.92e+000    -  5.71e-001 1.00e+000f  1
 124 6.6561413e+003 2.63e+001 1.85e+001  -2.5 6.93e+000    -  9.67e-001 2.33e-001F  1
 125 7.3308458e+003 3.68e+001 1.59e+001  -2.1 1.15e+001    -  4.01e-001 1.00e+000h  1
 126 7.8149888e+003 4.28e-001 2.86e+001  -2.4 2.22e-001  -1.0 1.00e+000 1.00e+000h  1
 127 7.2456674e+003 4.51e-002 5.37e+000  -3.1 1.87e-001  -0.6 1.00e+000 1.00e+000f  1
 128 7.2080387e+003 2.66e-002 1.83e+000  -4.4 7.66e-002  -1.0 1.00e+000 1.00e+000h  1
 129 6.6969864e+003 1.17e+001 1.20e+001  -5.8 2.29e+001    -  6.87e-002 3.06e-001f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130 6.4007278e+003 1.55e+001 2.43e+001  -2.7 1.54e+002    -  1.00e+000 2.99e-002f  1
 131 6.5337946e+003 1.26e+000 1.96e+001  -2.4 3.43e-001  -0.7 1.00e+000 1.00e+000h  1
 132 6.3996893e+003 5.84e+000 3.03e+001  -3.1 1.16e+001    -  5.89e-001 3.36e-001f  1
 133 5.7765583e+003 1.74e+001 1.79e+001  -3.1 1.29e+001    -  9.68e-001 6.99e-001h  1
 134 5.7996999e+003 2.70e-001 3.19e+001  -9.1 2.11e-001   0.2 4.08e-001 1.00e+000h  1
 135 5.7557383e+003 1.55e-003 9.27e+000  -4.4 4.58e-002   0.6 1.00e+000 1.00e+000h  1
 136 5.6794045e+003 4.66e-001 8.92e+000  -4.1 2.60e+001    -  6.29e-001 5.24e-002f  1
 137 5.6638346e+003 1.23e-002 1.69e+000  -5.2 4.28e-002   0.1 1.00e+000 1.00e+000h  1
 138 5.6528197e+003 1.18e-003 9.12e-001  -6.6 1.39e-002   0.6 1.00e+000 1.00e+000h  1
 139 5.5985399e+003 2.47e-001 2.08e+000  -8.3 4.15e+001    -  1.83e-001 2.37e-002f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140 5.5715369e+003 9.80e-002 3.03e+000  -6.0 9.71e-002  -0.4 1.00e+000 9.20e-001h  1
 141 5.5709986e+003 9.76e-002 3.06e+000  -6.0 2.48e-001  -0.9 1.00e+000 4.36e-003h  1
 142 5.5479336e+003 1.22e-001 3.46e+000  -4.4 1.34e-001  -0.4 1.00e+000 9.21e-001h  1
 143 5.4523534e+003 7.67e-001 4.13e+000  -3.7 4.10e+001    -  7.44e-001 4.12e-002f  1
 144 5.4380869e+003 1.61e-002 2.15e+000  -4.9 7.26e-002  -0.0 1.00e+000 1.00e+000h  1
 145 5.4309694e+003 1.50e-002 2.04e+000  -5.1 8.14e-002  -0.5 8.48e-001 1.04e-001h  1
 146 5.3969784e+003 1.91e-002 1.02e+000  -6.3 4.42e-002  -0.1 1.00e+000 9.97e-001h  1
 147 5.3789937e+003 3.61e-002 9.37e-001  -5.2 1.15e-001  -0.5 1.00e+000 4.75e-001h  1
 148 5.3683815e+003 2.34e-002 1.13e+000  -4.8 4.84e-002  -0.1 1.00e+000 7.33e-001h  1
 149 5.3489221e+003 6.30e-002 1.89e+000  -5.5 1.45e-001  -0.6 1.00e+000 4.90e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150 5.2782540e+003 2.08e-001 4.02e+000  -4.7 7.80e+001    -  4.40e-002 1.32e-002f  1
 151 5.2782747e+003 1.66e-001 3.28e+000 -11.0 1.61e-002   1.2 1.02e-001 1.99e-001h  1
 152 5.2437803e+003 2.24e-001 3.81e+000  -4.7 3.90e+001    -  1.81e-001 2.02e-002f  1
 153 5.1216347e+003 9.79e-001 8.76e+000 -11.0 6.81e+002    -  1.13e-002 5.25e-003f  1
 154 5.1172838e+003 9.79e-001 8.91e+000  -6.3 4.52e+002    -  1.69e-002 2.56e-004f  1
 155 4.9942591e+003 1.54e+000 1.24e+001  -4.2 3.24e+002    -  1.95e-002 1.23e-002f  1
 156 4.9887288e+003 1.22e+000 1.02e+001  -6.2 3.87e-002  -0.3 8.83e-001 2.06e-001h  1
 157 4.9604166e+003 1.25e+000 1.04e+001  -3.9 9.22e+001    -  2.60e-002 9.92e-003h  1
 158 4.8488218e+003 1.74e+000 1.38e+001  -4.8 2.03e+003    -  2.92e-003 1.25e-003f  1
 159 4.8427125e+003 7.76e-003 1.12e+000  -4.0 2.56e-002   0.5 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160 4.8376055e+003 4.29e-003 4.52e-001  -5.5 1.54e-002   0.1 9.99e-001 1.00e+000h  1
 161 4.8208243e+003 1.37e-002 5.23e-001  -6.7 1.94e+002    -  1.75e-002 2.28e-003f  1
 162 4.8150047e+003 1.38e-002 5.41e-001  -6.9 1.88e-002   0.0 1.00e+000 1.00e+000h  1
 163 4.8072256e+003 1.28e-002 6.10e-001  -6.0 4.60e+002    -  3.70e-003 4.11e-004f  1
 164 4.7901807e+003 1.60e-002 8.59e-001  -6.2 2.61e+003    -  3.96e-004 2.74e-004f  1
